name,allmap,map,lat,lon,insof,insplace
Mikkeller Taipei 米凱樂啤酒吧,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.421973886279!2d121.5101596!3d25.0536831!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a91397dd554b%3A0x8270377d8b45922a!2zTWlra2VsbGVyIFRhaXBlaSDnsbPlh7HmqILllaTphZLlkKc!5e0!3m2!1szh-TW!2stw!4v1627133882761!5m2!1szh-TW!2stw"" width=""400"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.421973886279!2d121.5101596!3d25.0536831!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a91397dd554b%3A0x8270377d8b45922a!2zTWlra2VsbGVyIFRhaXBlaSDnsbPlh7HmqILllaTphZLlkKc!5e0!3m2!1szh-TW!2stw!4v1627133882761!5m2!1szh-TW!2stw,25.053940663164354,121.51018105767169,https://www.instagram.com/mikkellertaipei/,https://www.instagram.com/explore/locations/1762083077383829/mikkeller-taipei/
小城外Bar CityNorth,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.3404373705125!2d121.5106366000001!3d25.056448000000017!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a9145c60494d%3A0x9d9dd710a7fcec7d!2z5bCP5Z-O5aSWQmFyIENpdHlOb3J0aA!5e0!3m2!1szh-TW!2stw!4v1627134009701!5m2!1szh-TW!2stw"" width=""400"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.3404373705125!2d121.5106366000001!3d25.056448000000017!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a9145c60494d%3A0x9d9dd710a7fcec7d!2z5bCP5Z-O5aSWQmFyIENpdHlOb3J0aA!5e0!3m2!1szh-TW!2stw!4v1627134009701!5m2!1szh-TW!2stw,25.056627804247594,121.51070097301502,https://www.instagram.com/bar_citynorth/,https://www.instagram.com/explore/locations/453825028156666/bar-citynorth/
Le Zinc 洛 Café & Bar,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.3536464504073!2d121.51054599999995!3d25.056000100000002!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a91468ba8a91%3A0x734b2cdaca2b9cf4!2zTGUgWmluYyDmtJsgQ2Fmw6kgJiBCYXI!5e0!3m2!1szh-TW!2stw!4v1627134115800!5m2!1szh-TW!2stw"" width=""400"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.3536464504073!2d121.51054599999995!3d25.056000100000002!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a91468ba8a91%3A0x734b2cdaca2b9cf4!2zTGUgWmluYyDmtJsgQ2Fmw6kgJiBCYXI!5e0!3m2!1szh-TW!2stw!4v1627134115800!5m2!1szh-TW!2stw,25.056160466549358,121.51051381349248,https://www.instagram.com/lezinc_taipeidadaocheng/,https://www.instagram.com/explore/locations/400414655/le-zinc-cafe-bar/
沃森茶酒館 Watson Bar,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.3933077521265!2d121.50999469999998!3d25.0546552!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a99d6f9902cd%3A0x1f242a0ff23f022b!2z5rKD5qOu6Iy26YWS6aSoIFdhdHNvbiBCYXI!5e0!3m2!1szh-TW!2stw!4v1627134221078!5m2!1szh-TW!2stw"" width=""400"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.3933077521265!2d121.50999469999998!3d25.0546552!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a99d6f9902cd%3A0x1f242a0ff23f022b!2z5rKD5qOu6Iy26YWS6aSoIFdhdHNvbiBCYXI!5e0!3m2!1szh-TW!2stw!4v1627134221078!5m2!1szh-TW!2stw,25.054835006877763,121.50997324232831,https://www.instagram.com/watsonbar/,https://www.instagram.com/explore/locations/552651068495975/watson-bar/
星夜 Starry night Bar,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.5225463070888!2d121.51934789999999!3d25.050272299999992!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a90d8bd3c551%3A0x4d48a50c23d45855!2z5pif5aScIFN0YXJyeSBuaWdodCBCYXI!5e0!3m2!1szh-TW!2stw!4v1627134326612!5m2!1szh-TW!2stw"" width=""400"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.5225463070888!2d121.51934789999999!3d25.050272299999992!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a90d8bd3c551%3A0x4d48a50c23d45855!2z5pif5aScIFN0YXJyeSBuaWdodCBCYXI!5e0!3m2!1szh-TW!2stw!4v1627134326612!5m2!1szh-TW!2stw,25.05047155256771,121.51934789999999,https://www.instagram.com/starrynight20180101/,https://www.instagram.com/explore/locations/2110283249195161/starry-night-bar/
SOUL MATE BAR,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.4527738553325!2d121.51730410000005!3d25.052638600000005!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a92edc971289%3A0xa85f9b1ff03706bd!2sSOUL%20MATE%20BAR!5e0!3m2!1szh-TW!2stw!4v1627134419969!5m2!1szh-TW!2stw"" width=""400"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.4527738553325!2d121.51730410000005!3d25.052638600000005!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a92edc971289%3A0xa85f9b1ff03706bd!2sSOUL%20MATE%20BAR!5e0!3m2!1szh-TW!2stw!4v1627134419969!5m2!1szh-TW!2stw,25.05285728760376,121.51730410000003,https://www.instagram.com/soul.mate_bar/,https://www.instagram.com/explore/locations/221126308783220/soul-mate-bar/
醜 Sponge,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.5106934156815!2d121.51617570000002!3d25.050674300000008!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a9708d7f406d%3A0x6e4fd957dcb0b511!2z6YacIFNwb25nZQ!5e0!3m2!1szh-TW!2stw!4v1627134548630!5m2!1szh-TW!2stw"" width=""400"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.5106934156815!2d121.51617570000002!3d25.050674300000008!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a9708d7f406d%3A0x6e4fd957dcb0b511!2z6YacIFNwb25nZQ!5e0!3m2!1szh-TW!2stw!4v1627134548630!5m2!1szh-TW!2stw,25.050854112717445,121.51613278465668,https://www.instagram.com/uuuggglllyyy2018/,https://www.instagram.com/explore/locations/291601791574682/sponge/
"Bitter Burro,take the bitter with the sweet","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.5172744460156!2d121.51662979999999!3d25.050451099999993!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a945140ecebb%3A0xecf8b8d553947b8f!2zQml0dGVyIEJ1cnJvLCB0YWtlIHRoZSBiaXR0ZXIgd2l0aCB0aGUgc3dlZXQt5Lqs56uZ5Y-w5YyX6LuK56uZIOeJueiJsuiqv-mFkiDnibnoibLkurrmsKPphZLlkKcg5bCP6YWM5o6o6JamIOe2k-WFuOmFkuWQpyBQb3B1bGFyIENvY2t0YWlsIEJhcg!5e0!3m2!1szh-TW!2stw!4v1627134633126!5m2!1szh-TW!2stw"" width=""400"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.5172744460156!2d121.51662979999999!3d25.050451099999993!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a945140ecebb%3A0xecf8b8d553947b8f!2zQml0dGVyIEJ1cnJvLCB0YWtlIHRoZSBiaXR0ZXIgd2l0aCB0aGUgc3dlZXQt5Lqs56uZ5Y-w5YyX6LuK56uZIOeJueiJsuiqv-mFkiDnibnoibLkurrmsKPphZLlkKcg5bCP6YWM5o6o6JamIOe2k-WFuOmFkuWQpyBQb3B1bGFyIENvY2t0YWlsIEJhcg!5e0!3m2!1szh-TW!2stw!4v1627134633126!5m2!1szh-TW!2stw,25.050689230732445,121.51650105397,https://www.instagram.com/bitter_burro/,https://www.instagram.com/explore/locations/1261762593987457/bitter-burrotake-the-bitter-with-the-sweet/
Hush Taipei,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.683105966805!2d121.54532009999998!3d25.0448262!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442ab6b6de3a2bb%3A0xfa879a1b41780ac2!2zSHVzaCBUYWlwZWkgLUNvY2t0YWlsIEJhciBCaXN0cm8g6aSQ6YWS6aSoIOaymeeZvOWMheW7giDmmZrppJDlrrXlpJwg576p5rOV5paZ55CGIOiBmuacg-WMheWgtA!5e0!3m2!1szh-TW!2stw!4v1627134803133!5m2!1szh-TW!2stw"" width=""400"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.683105966805!2d121.54532009999998!3d25.0448262!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442ab6b6de3a2bb%3A0xfa879a1b41780ac2!2zSHVzaCBUYWlwZWkgLUNvY2t0YWlsIEJhciBCaXN0cm8g6aSQ6YWS6aSoIOaymeeZvOWMheW7giDmmZrppJDlrrXlpJwg576p5rOV5paZ55CGIOiBmuacg-WMheWgtA!5e0!3m2!1szh-TW!2stw!4v1627134803133!5m2!1szh-TW!2stw,25.045064341657746,121.54525572698499,https://www.instagram.com/hush_taipei/,https://www.instagram.com/explore/locations/106267134095266/hush-taipei/
ROOM by Le Kief,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.703888096751!2d121.54482870000001!3d25.044121200000003!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442ab626a2e2cb1%3A0x367d65af17bf0f5e!2sROOM%20by%20Le%20Kief!5e0!3m2!1szh-TW!2stw!4v1627134908127!5m2!1szh-TW!2stw"" width=""400"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.703888096751!2d121.54482870000001!3d25.044121200000003!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442ab626a2e2cb1%3A0x367d65af17bf0f5e!2sROOM%20by%20Le%20Kief!5e0!3m2!1szh-TW!2stw!4v1627134908127!5m2!1szh-TW!2stw,25.044301022328415,121.54480724232832,https://www.instagram.com/room_by_le_kief/,https://www.instagram.com/explore/locations/300781004010595/room-by-le-kief/
房間餐酒 The Room Bistro,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.722340990293!2d121.54673839999998!3d25.04349519999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442ab6c46a2af7b%3A0x58f057d1cc976aea!2z5oi_6ZaT6aSQ6YWSIFRoZSBSb29tIEJpc3Rybw!5e0!3m2!1szh-TW!2stw!4v1627135034803!5m2!1szh-TW!2stw"" width=""400"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.722340990293!2d121.54673839999998!3d25.04349519999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442ab6c46a2af7b%3A0x58f057d1cc976aea!2z5oi_6ZaT6aSQ6YWSIFRoZSBSb29tIEJpc3Rybw!5e0!3m2!1szh-TW!2stw!4v1627135034803!5m2!1szh-TW!2stw,25.04367502324639,121.54673839999998,https://www.instagram.com/theroombistro/,https://www.instagram.com/explore/locations/115279783265799/the-room/
EAST END,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.737102994449!2d121.54602990000005!3d25.042994399999994!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442abdaf06c78c7%3A0x1d57f2497cfee0e4!2sEAST%20END!5e0!3m2!1szh-TW!2stw!4v1627135152347!5m2!1szh-TW!2stw"" width=""400"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.737102994449!2d121.54602990000005!3d25.042994399999994!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442abdaf06c78c7%3A0x1d57f2497cfee0e4!2sEAST%20END!5e0!3m2!1szh-TW!2stw!4v1627135152347!5m2!1szh-TW!2stw,25.04321310480678,121.54615864602998,https://www.instagram.com/eastendbar/,https://www.instagram.com/explore/locations/978140842/east-end/
花生俱樂部 Peanut Club,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.6983344577366!2d121.5469604!3d25.0443096!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442ab2d4a87cb4d%3A0xc03fa4deda78c51f!2z6Iqx55Sf5L-x5qiC6YOoIFBlYW51dCBDbHViLea3seWknOWSluWVoeW7syDnibnoibLlibXmhI_mlpnnkIYg5o6o6Jam54m56Imy57aT5YW46Kq_6YWS5ZCnIOmkkOmFkumkqOaWmeeQhg!5e0!3m2!1szh-TW!2stw!4v1627135235913!5m2!1szh-TW!2stw"" width=""400"" height=""300"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.6983344577366!2d121.5469604!3d25.0443096!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442ab2d4a87cb4d%3A0xc03fa4deda78c51f!2z6Iqx55Sf5L-x5qiC6YOoIFBlYW51dCBDbHViLea3seWknOWSluWVoeW7syDnibnoibLlibXmhI_mlpnnkIYg5o6o6Jam54m56Imy57aT5YW46Kq_6YWS5ZCnIOmkkOmFkumkqOaWmeeQhg!5e0!3m2!1szh-TW!2stw!4v1627135235913!5m2!1szh-TW!2stw,25.044664383795663,121.54698185767168,https://www.instagram.com/peanutclubtaiwan/,https://www.instagram.com/explore/locations/2643331862558941/peanut-club/
